subj,item1,item2,edge,
ANIMALI,asinello,bue,0,
ANIMALI,asinello,pettirosso,0,
ANIMALI,asinello,gamberetto,0,
ANIMALI,asinello,visone,0,
ANIMALI,asinello,pitonereticolato,0,
ANIMALI,asinello,cigno,0,
ANIMALI,asinello,gabbiano,0,
ANIMALI,asinello,passero,0,
ANIMALI,asinello,donnola,0,
ANIMALI,asinello,gru,0,
ANIMALI,asinello,mantide,0,
ANIMALI,asinello,seppia,0,
ANIMALI,asinello,struzzo,0,
ANIMALI,asinello,licaone,0,
ANIMALI,asinello,granseola,0,
ANIMALI,asinello,rondine,0,
ANIMALI,asinello,tonno,0,
ANIMALI,asinello,trota,0,
ANIMALI,asinello,orsonero,0,
ANIMALI,asinello,caimano,0,
ANIMALI,asinello,ghiro,0,
ANIMALI,asinello,upupa,0,
ANIMALI,asinello,cavallucciomarino,0,
ANIMALI,asinello,tasso,0,
ANIMALI,asinello,scampo,0,
ANIMALI,asinello,ippopotamo,0,
ANIMALI,asinello,brontosauro,0,
ANIMALI,asinello,bonobo,0,
ANIMALI,asinello,vedovanera,0,
ANIMALI,asinello,coccodrillo,0,
ANIMALI,asinello,maiale,0,
ANIMALI,asinello,salmone,0,
ANIMALI,asinello,formicaleone,0,
ANIMALI,asinello,triglia,0,
ANIMALI,asinello,canelupo,0,
ANIMALI,asinello,beccaccino,0,
ANIMALI,asinello,bombo,0,
ANIMALI,asinello,zebra,0,
ANIMALI,asinello,iena,0,
ANIMALI,asinello,tordo,0,
ANIMALI,asinello,medusa,0,
ANIMALI,asinello,cane,0,
ANIMALI,asinello,bisonte,0,
ANIMALI,asinello,falena,0,
ANIMALI,asinello,gambero,0,
ANIMALI,asinello,asino,0,
ANIMALI,asinello,pollo,0,
ANIMALI,asinello,scorpione,0,
ANIMALI,asinello,pescepappagallo,0,
ANIMALI,asinello,topo,0,
ANIMALI,asinello,istrice,0,
ANIMALI,asinello,barracuda,0,
ANIMALI,asinello,civetta,0,
ANIMALI,asinello,bertuccia,0,
ANIMALI,asinello,cammello,0,
ANIMALI,asinello,pescespada,0,
ANIMALI,asinello,suricato,0,
ANIMALI,asinello,vipera,0,
ANIMALI,asinello,stellamarina,0,
ANIMALI,asinello,canguro,0,
ANIMALI,asinello,canarino,0,
ANIMALI,asinello,lepre,0,
ANIMALI,asinello,corvo,0,
ANIMALI,asinello,ovino,0,
ANIMALI,asinello,rettile,0,
ANIMALI,asinello,gufo,0,
ANIMALI,asinello,carpa,0,
ANIMALI,asinello,coccinella,0,
ANIMALI,asinello,squalo,0,
ANIMALI,asinello,cavallo,0,
ANIMALI,asinello,gerbillo,0,
ANIMALI,asinello,polpo,0,
ANIMALI,asinello,astice,0,
ANIMALI,asinello,lucertola,0,
ANIMALI,asinello,geco,0,
ANIMALI,asinello,marmotta,0,
ANIMALI,asinello,leonessa,0,
ANIMALI,asinello,tardigrado,0,
ANIMALI,asinello,orso,0,
ANIMALI,asinello,tapiro,0,
ANIMALI,asinello,riccio,0,
